size,Triton1D,Triton2D,Torch,Torch w/ compile
1.0,23.8,24.0,11.8,15.7
2.0,31.2,37.0,17.3,27.3
4.0,45.7,52.7,29.4,41.4
8.0,60.8,68.5,45.3,59.2
16.0,71.0,121.7,59.9,76.8
32.0,79.0,129.0,72.8,87.5
64.0,83.1,137.6,80.8,96.0
128.0,86.4,141.1,85.9,99.8
256.0,87.8,143.0,88.5,102.1
512.0,88.7,144.5,90.0,103.2
1024.0,89.0,144.9,90.6,103.7
2048.0,88.0,145.0,91.2,104.1
4096.0,88.1,144.6,91.6,104.3
8192.0,88.2,144.0,91.7,104.3
