size,Triton1D,Triton2D,Torch,Torch w/ compile
1.0,21.3,15.9,25.3,48.0
3.0,26.1,20.1,53.4,94.8
4.0,27.1,26.8,63.3,96.4
8.0,28.3,28.4,87.6,117.7
25.0,28.7,22.7,120.0,133.7
42.0,28.9,19.2,129.3,138.3
92.0,29.2,21.0,137.6,141.5
230.0,29.3,26.4,142.1,143.4
369.0,29.3,21.3,143.4,143.4
904.0,29.4,26.1,144.6,144.6
1450.0,29.4,27.8,144.9,144.9
