size,Triton1D,Triton2D,Torch,Torch w/ compile
1.0,24.0,22.8,11.7,15.8
3.0,36.6,40.6,25.1,36.7
7.0,57.3,60.6,42.1,56.0
9.0,61.7,44.7,48.1,63.4
17.0,73.1,40.3,62.5,75.9
36.0,80.5,49.3,75.1,87.6
95.0,86.0,63.9,84.5,94.9
231.0,88.1,80.6,88.7,98.0
302.0,88.7,80.1,89.5,99.2
710.0,89.0,113.2,91.0,100.3
1362.0,88.6,126.0,91.4,100.6
3961.0,88.7,138.8,92.1,100.9
8104.0,89.2,142.8,92.0,100.2
