size,Triton1D,Triton2D,Torch,Torch w/ compile
1.0,21.3,15.9,25.7,48.0
2.0,22.6,22.4,40.4,76.8
4.0,27.1,27.0,64.0,96.0
8.0,28.2,28.4,87.5,118.0
16.0,28.7,28.9,109.7,128.7
32.0,28.9,29.2,124.8,136.5
64.0,29.1,29.4,134.5,140.4
128.0,29.2,29.5,139.6,142.5
256.0,29.3,29.5,142.5,143.6
512.0,29.3,29.6,143.9,144.1
1024.0,29.4,29.6,144.7,144.4
2048.0,29.4,29.7,145.0,144.5
