size,Triton1D,Triton2D,Torch,Torch w/ compile
1.0,45.2,45.5,21.9,29.3
2.0,61.7,65.7,33.4,48.0
4.0,92.0,96.0,54.9,73.4
8.0,111.7,114.0,80.1,98.3
16.0,125.7,129.0,102.4,118.2
32.0,134.3,137.8,120.2,129.7
64.0,139.7,141.0,131.6,137.1
128.0,142.9,143.1,138.1,141.2
256.0,144.3,144.3,141.7,143.2
512.0,145.0,144.9,143.4,144.2
1024.0,145.2,145.0,144.4,144.8
2048.0,145.4,144.5,144.9,144.9
4096.0,145.5,144.1,145.1,145.0
