size,Triton1D,Triton2D,Torch,Torch w/ compile
1.0,45.2,45.9,21.6,30.4
2.0,62.1,66.8,35.4,48.0
4.0,91.0,96.0,55.9,74.0
8.0,111.7,113.5,80.3,98.7
31.0,135.3,57.8,119.8,129.6
36.0,136.4,74.7,123.0,132.1
72.0,141.0,86.7,132.9,138.2
143.0,143.0,82.7,138.7,141.5
404.0,144.7,126.5,142.9,143.9
665.0,145.0,131.1,143.8,144.4
1453.0,145.3,130.6,144.7,144.8
2662.0,145.4,132.3,145.0,145.0
